Supplier,OnTimeDelivery,DefectRate,CostVariance,ComplianceScore
Supplier_1,66,8,16,83
Supplier_10,79,4,22,75
Supplier_100,96,0,19,75
Supplier_1000,98,7,10,83
Supplier_10000,99,7,8,95
Supplier_100000,96,7,7,92
Supplier_100001,68,7,25,83
Supplier_100002,87,14,2,66
Supplier_100003,90,12,11,95
Supplier_100004,62,7,27,55
Supplier_100005,76,11,10,73
Supplier_100006,72,9,9,100
Supplier_100007,63,13,0,62
Supplier_100008,74,8,6,56
Supplier_100009,92,1,3,80
Supplier_10001,61,3,17,91
Supplier_100010,82,0,12,93
Supplier_100011,68,13,10,89
Supplier_100012,67,10,6,58
Supplier_100013,63,8,12,66
Supplier_100014,60,13,15,68
Supplier_100015,63,12,1,69
Supplier_100016,82,4,9,98
Supplier_100017,69,7,5,70
Supplier_100018,83,13,5,55
Supplier_100019,80,6,13,65
Supplier_10002,91,19,8,100
Supplier_100020,82,9,14,78
Supplier_100021,82,14,2,82
Supplier_100022,81,7,7,75
Supplier_100023,86,3,14,96
Supplier_100024,67,3,8,80
Supplier_100025,83,0,11,59
Supplier_100026,94,4,7,63
Supplier_100027,98,15,19,74
Supplier_100028,79,16,12,86
Supplier_100029,64,10,23,93
Supplier_10003,86,11,13,100
Supplier_100030,69,0,16,70
Supplier_100031,87,11,17,44
Supplier_100032,68,10,16,57
Supplier_100033,100,12,12,68
Supplier_100034,75,12,8,65
Supplier_100035,89,12,20,39
Supplier_100036,89,0,29,99
Supplier_100037,86,1,17,48
Supplier_100038,84,8,14,65
Supplier_100039,87,11,16,81
Supplier_10004,64,6,13,50
Supplier_100040,98,6,7,83
Supplier_100041,64,4,13,80
Supplier_100042,90,14,6,82
Supplier_100043,83,12,17,100
Supplier_100044,64,8,18,58
Supplier_100045,83,12,8,98
Supplier_100046,68,0,3,100
Supplier_100047,67,17,4,72
Supplier_100048,84,2,1,47
Supplier_100049,79,1,4,54
Supplier_10005,82,15,10,81
Supplier_100050,79,0,12,48
Supplier_100051,69,13,4,100
Supplier_100052,63,10,0,62
Supplier_100053,73,1,16,41
Supplier_100054,68,9,27,68
Supplier_100055,59,14,5,57
Supplier_100056,90,4,10,81
Supplier_100057,63,5,1,37
Supplier_100058,83,9,9,44
Supplier_100059,87,1,3,78
Supplier_10006,69,8,11,87
Supplier_100060,100,3,13,51
